sample_id,E_corr_V,b_anodic_V,b_cathodic_V,i_corr_uA_cm2,oxide_layer_nm,roughness_Ra_nm
1,-0.308,0.079,0.091,7.21,24.1,5.12
2,-0.315,0.083,0.097,8.45,25.8,5.38
3,-0.312,0.082,0.095,8.11,25.5,5.39
4,-0.319,0.086,0.099,9.02,23.9,5.61
5,-0.305,0.078,0.089,6.98,26.2,5.05
6,-0.322,0.088,0.101,9.45,23.1,5.82
7,-0.310,0.081,0.094,7.89,25.9,5.29
8,-0.316,0.084,0.098,8.67,25.2,5.44
9,-0.311,0.080,0.093,7.75,26.0,5.35
10,-0.318,0.085,0.100,8.92,24.3,5.55
11,-0.309,0.079,0.092,7.34,25.7,5.19
12,-0.313,0.082,0.096,8.23,25.4,5.41
13,-0.321,0.087,0.100,9.31,23.5,5.72
14,-0.306,0.078,0.090,7.05,26.1,5.08
15,-0.314,0.083,0.097,8.51,25.6,5.40
